TableNumber,ImageNumber,Image_FileName_DAPI,Image_PathName_DAPI,Image_FileName_Tubulin,Image_PathName_Tubulin,Image_FileName_Actin,Image_PathName_Actin,Image_Metadata_Plate_DAPI,Image_Metadata_Well_DAPI,Replicate,Image_Metadata_Compound,Image_Metadata_Concentration,MoA,Unique_MoA,Unique_Treatments,Unique_Compounds
0,1,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s1_w18E215662-2CF7-4739-93F3-DBD0C40B78DB_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s1_w2D492FCE4-15C2-4C66-99A5-E2235A93A3CC_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s1_w436D0A3BC-098D-4271-B5AA-361CA0A7DC88_corrected_resized.tiff,Week10/Week10_40111,Week10_40111,B02,1,DMSO,0,DMSO,0,0,0
0,2,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s2_w1CD1D8755-B3D7-4FD9-B53D-E02135CA94F0_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s2_w273BF3441-EEC5-4D6C-826D-15B81FAC24D9_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s2_w4E95A4CD8-0BCD-4113-9963-23C5842CDDE8_corrected_resized.tiff,Week10/Week10_40111,Week10_40111,B02,1,DMSO,0,DMSO,0,0,0
0,3,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s3_w17354DD8E-6CAE-4AD9-AB74-3A148CFEB9EF_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s3_w29331A3D0-8AA5-4620-8E19-9179BB20167E_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s3_w49826D8DD-AE9B-4A55-B2C7-DB0BCB6E13D9_corrected_resized.tiff,Week10/Week10_40111,Week10_40111,B02,1,DMSO,0,DMSO,0,0,0
0,4,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s4_w15542B66C-C2A8-4213-876C-90484327DBA6_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s4_w2E0FCA91C-1F4E-4F80-89C1-34B1E3917F0D_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_B02_s4_w4B2AF1152-3C67-4237-8624-801684919055_corrected_resized.tiff,Week10/Week10_40111,Week10_40111,B02,1,DMSO,0,DMSO,0,0,0
0,41,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s1_w160751543-AE48-4889-9B94-29A61EA96D96_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s1_w2ECD31092-428D-4C31-9680-B8B5B71890C0_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s1_w4E6F3553B-789D-4BDD-8706-EC6E395777FF_corrected_resized.tiff,Week10/Week10_40111,Week10_40111,C02,1,DMSO,0,DMSO,0,0,0
0,42,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s2_w1CBC77452-9C63-4107-A228-E50A0F5D688F_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s2_w2F8E5F9AF-B46A-42D6-B9E3-850954B5494E_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s2_w43CD92418-C848-4B13-A1EE-7AAB01982D9D_corrected_resized.tiff,Week10/Week10_40111,Week10_40111,C02,1,DMSO,0,DMSO,0,0,0
0,43,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s3_w179FBE23B-64F0-4E34-9794-EA344B86C463_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s3_w2DBE04C27-8FCE-4E54-96AC-57F2D8F96005_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s3_w44462DB0D-082D-45CA-97E6-F60033334574_corrected_resized.tiff,Week10/Week10_40111,Week10_40111,C02,1,DMSO,0,DMSO,0,0,0
0,44,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s4_w1F2DDDAA5-823A-4AB1-B458-204CDC6C4F1D_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s4_w27EFFDCB8-6E7A-4B7E-9ED9-88538C196291_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_C02_s4_w4C15D17A9-7C87-4870-B25E-BF95AA436DA6_corrected_resized.tiff,Week10/Week10_40111,Week10_40111,C02,1,DMSO,0,DMSO,0,0,0
0,81,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_D02_s1_w1E8853E7D-940A-46CA-A42C-4B628D1E781F_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_D02_s1_w2C6B52338-5CD2-4434-8398-403A650D5EBF_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_D02_s1_w4B6C5A48E-7F93-4C78-9824-CAA85A1F334E_corrected_resized.tiff,Week10/Week10_40111,Week10_40111,D02,1,DMSO,0,DMSO,0,0,0
0,82,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_D02_s2_w126635715-38F5-4F74-9FA7-33C4A107E673_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_D02_s2_w26AA3E9A3-3BE0-4A7A-86F4-4F4925FE20C7_corrected_resized.tiff,Week10/Week10_40111,/projects/img/GAN_CP/PAPER_2/BBBC021/Week10_40111/Week10_200907_D02_s2_w4B101CC65-FC4C-49AA-ADA5-DED2F0466477_corrected_resized.tiff,Week10/Week10_40111,Week10_40111,D02,1,DMSO,0,DMSO,0,0,0
